Final F1 Score,epoch,step,test_loss,train_loss,val_loss
,0,749,,,0.15354254841804504
,0,749,,0.49983036518096924,
,1,1499,,,0.11751124262809753
,1,1499,,0.12980306148529053,
,2,2249,,,0.0822649672627449
,2,2249,,0.09830872714519501,
,3,2999,,,0.06842299550771713
,3,2999,,0.08219235390424728,
,4,3749,,,0.06362847238779068
,4,3749,,0.06935565173625946,
,5,4499,,,0.06502692401409149
,5,4499,,0.06363961845636368,
,6,5249,,,0.06872747838497162
,6,5249,,0.056880850344896317,
,7,5999,,,0.05445674806833267
,7,5999,,0.054122377187013626,
,8,6749,,,0.050119902938604355
,8,6749,,0.0466831810772419,
,9,7499,,,0.054054372012615204
,9,7499,,0.04534526914358139,
,10,8249,,,0.050692588090896606
,10,8249,,0.043676309287548065,
,11,8999,,,0.04761635884642601
,11,8999,,0.03958698362112045,
,12,9749,,,0.05647582933306694
,12,9749,,0.038208868354558945,
,13,10499,,,0.05632254481315613
,13,10499,,0.03838801383972168,
,14,11249,,,0.04686252400279045
,14,11249,,0.034188635647296906,
,15,11999,,,0.055207427591085434
,15,11999,,0.03253154829144478,
,16,12749,,,0.04184410721063614
,16,12749,,0.0326186828315258,
,17,13499,,,0.03790973126888275
,17,13499,,0.029602201655507088,
,18,14249,,,0.03840509429574013
,18,14249,,0.031109824776649475,
,19,14999,,,0.040398143231868744
,19,14999,,0.028567949309945107,
,20,15749,,,0.03797581046819687
,20,15749,,0.025613943114876747,
,21,16499,,,0.043287571519613266
,21,16499,,0.026653485372662544,
,22,17249,,,0.038370467722415924
,22,17249,,0.026224659755825996,
,23,17999,,,0.03517055884003639
,23,17999,,0.02390695922076702,
,24,18749,,,0.04108613729476929
,24,18749,,0.024364527314901352,
,25,19499,,,0.042011115700006485
,25,19499,,0.025093108415603638,
,26,20249,,,0.04154825210571289
,26,20249,,0.023950275033712387,
,27,20999,,,0.03796334192156792
,27,20999,,0.021912196651101112,
,28,21749,,,0.03783740848302841
,28,21749,,0.02098810486495495,
,29,22499,,,0.039677366614341736
,29,22499,,0.021127626299858093,
0.9834654927253723,30,22500,0.023635979741811752,,
